NAME,B01003_001E,state,county
"Mitchell County, Kansas",6296,20,123
"Montgomery County, Kansas",34184,20,125
"Morris County, Kansas",5750,20,127
"Morton County, Kansas",3106,20,129
"Nemaha County, Kansas",10159,20,131
"Neosho County, Kansas",16423,20,133
"Ness County, Kansas",3077,20,135
"Norton County, Kansas",5590,20,137
"Osage County, Kansas",16080,20,139
"Osborne County, Kansas",3782,20,141
"Ottawa County, Kansas",6048,20,143
"Pawnee County, Kansas",6911,20,145
"Phillips County, Kansas",5501,20,147
"Pottawatomie County, Kansas",22625,20,149
"Pratt County, Kansas",9739,20,151
"Rawlins County, Kansas",2545,20,153
"Reno County, Kansas",64058,20,155
"Republic County, Kansas",4806,20,157
"Rice County, Kansas",10014,20,159
"Riley County, Kansas",75022,20,161
"Rooks County, Kansas",5186,20,163
"Rush County, Kansas",3184,20,165
"Russell County, Kansas",6988,20,167
"Saline County, Kansas",55735,20,169
"Scott County, Kansas",4928,20,171
"Sedgwick County, Kansas",506529,20,173
"Seward County, Kansas",23274,20,175
"Shawnee County, Kansas",178792,20,177
"Sheridan County, Kansas",2531,20,179
"Sherman County, Kansas",6054,20,181
"Smith County, Kansas",3740,20,183
"Stafford County, Kansas",4320,20,185
"Stanton County, Kansas",2149,20,187
"Stevens County, Kansas",5772,20,189
"Sumner County, Kansas",23638,20,191
"Thomas County, Kansas",7925,20,193
"Trego County, Kansas",2951,20,195
