,NAME,GEO_ID,2000,2010,2015
287,"Dovray city, Minnesota",1600000US2716300,57,54,69
288,"Spring Lake Park city, Minnesota",1600000US2761996,6412,6531,6504
289,"St. Augusta city, Minnesota",1600000US2756724,3317,3222,3486
290,"Walters city, Minnesota",1600000US2767900,73,106,121
291,"Alvarado city, Minnesota",1600000US2701252,363,389,444
292,"Grygla city, Minnesota",1600000US2726216,221,265,187
293,"Middle River city, Minnesota",1600000US2741912,303,312,289
294,"Bingham Lake city, Minnesota",1600000US2705896,126,149,123
295,"Elgin city, Minnesota",1600000US2718530,1089,1301,1184
296,"Talladega city, Alabama",1600000US0174592,15676,15993,15931
297,"Lexington town, Alabama",1600000US0142640,735,695,667
298,"Decatur city, Alabama",1600000US0120104,55683,55253,55598
299,"Lincoln city, Alabama",1600000US0143120,6266,6065,6391
300,"Woodland town, Alabama",1600000US0183400,184,253,222
301,"Fairhope city, Alabama",1600000US0125240,15326,14927,17309
302,"Point Clear CDP, Alabama",1600000US0161488,2125,1766,2495
303,"Robertsdale city, Alabama",1600000US0165208,5276,5052,5656
304,"Garden City town, Alabama",1600000US0129032,492,694,374
305,"Georgiana town, Alabama",1600000US0129560,1738,1624,1710
306,"Brookwood town, Alabama",1600000US0109808,1828,2330,1932
307,"Walnut Grove town, Alabama",1600000US0179728,698,831,910
308,"Dothan city, Alabama",1600000US0121184,65496,64299,67708
309,"Kinsey town, Alabama",1600000US0140072,2198,2106,2275
310,"Theodore CDP, Alabama",1600000US0175768,6130,6147,5942
311,"Eldridge town, Alabama",1600000US0123344,130,105,204
312,"Jasper city, Alabama",1600000US0138416,14352,14307,14186
313,"Kansas town, Alabama",1600000US0139280,226,287,186
314,"Fultondale city, Alabama",1600000US0128552,8380,8093,8733
315,"Anchorage municipality, Alaska",1600000US0203000,291826,284267,299107
316,"Point Baker CDP, Alaska",1600000US0261190,15,11,41
317,"St. Paul city, Alaska",1600000US0266470,479,1065,576
318,"Allakaket city, Alaska",1600000US0201860,105,59,77
319,"Ridgeway CDP, Alaska",1600000US0265345,2022,2366,2195
320,"Hooper Bay city, Alaska",1600000US0233470,1093,1218,1140
321,"King Cove city, Alaska",1600000US0239410,938,702,1074
322,"Happy Valley CDP, Alaska",1600000US0231710,593,484,607
323,"Slana CDP, Alaska",1600000US0270930,147,281,84
324,"Deltana CDP, Alaska",1600000US0218675,2251,1760,2311
325,"Two Rivers CDP, Alaska",1600000US0279830,719,347,238
326,"Nenana city, Alaska",1600000US0253050,378,449,406
327,"Selawik city, Alaska",1600000US0268230,829,716,794
328,"Sleetmute CDP, Alaska",1600000US0271090,86,96,96
329,"Birch Creek CDP, Alaska",1600000US0207620,33,27,1
330,"Seldovia Village CDP, Alaska",1600000US0268370,165,110,174
331,"Game Creek CDP, Alaska",1600000US0227700,18,19,36
332,"Diomede city, Alaska",1600000US0219060,115,126,43
333,"St. Michael city, Alaska",1600000US0266360,401,399,396
334,"Stebbins city, Alaska",1600000US0272960,556,526,547
335,"Akhiok city, Alaska",1600000US0200650,71,99,84
336,"Old Harbor city, Alaska",1600000US0257340,218,257,249
337,"Chevak city, Alaska",1600000US0213230,938,944,1082
338,"Emmonak city, Alaska",1600000US0222910,762,830,835
339,"Nelchina CDP, Alaska",1600000US0252915,59,0,170
340,"Chenega CDP, Alaska",1600000US0212970,76,83,66
341,"Copper Center CDP, Alaska",1600000US0217300,328,363,405
342,"Mendeltna CDP, Alaska",1600000US0248200,39,20,22
343,"Silver Springs CDP, Alaska",1600000US0270320,114,110,168
344,"Alakanuk city, Alaska",1600000US0201200,677,504,777
345,"Anderson city, Alaska",1600000US0203220,246,353,201
346,"Anaktuvuk Pass city, Alaska",1600000US0202080,324,413,247
347,"Covenant Life CDP, Alaska",1600000US0217670,86,59,105
348,"Oxford city, Arkansas",1600000US0552880,670,880,636
349,"Hickory Ridge city, Arkansas",1600000US0531900,272,337,233
350,"Higginson town, Arkansas",1600000US0532140,621,638,768
351,"Griffithville town, Arkansas",1600000US0528990,225,191,156
352,"Lepanto city, Arkansas",1600000US0539370,1893,2177,1955
353,"Oppelo city, Arkansas",1600000US0552430,781,922,826
354,"Shannon Hills city, Arkansas",1600000US0563470,3143,2939,3497
355,"Vandervoort town, Arkansas",1600000US0571510,87,115,80
356,"Walnut Ridge city, Arkansas",1600000US0572890,4890,4882,4755
357,"Rondo town, Arkansas",1600000US0560590,198,421,257
358,"Moss Landing CDP, California",1600000US0649488,204,209,153
359,"Belvedere city, California",1600000US0605164,2068,2116,1992
360,"Fairfax town, California",1600000US0623168,7441,7346,7584
361,"Cassel CDP, California",1600000US0611782,207,458,362
362,"Cedarville CDP, California",1600000US0612328,514,502,298
363,"Centerville CDP, California",1600000US0612412,392,307,404
364,"Chalfant CDP, California",1600000US0612594,651,780,581
365,"Cherokee CDP, California",1600000US0612818,69,56,111
366,"Clay CDP, California",1600000US0613854,1195,1214,1113
367,"Clear Creek CDP, California",1600000US0613910,169,168,217
368,"Cherokee Strip CDP, California",1600000US0612860,227,222,243
369,"Clarksburg CDP, California",1600000US0613784,418,226,472
370,"Clearlake Riviera CDP, California",1600000US0613985,3090,3193,2973
371,"Cleone CDP, California",1600000US0614008,618,701,648
372,"Clipper Mills CDP, California",1600000US0614148,142,98,94
373,"Coarsegold CDP, California",1600000US0614288,1840,1606,994
374,"Coffee Creek CDP, California",1600000US0614406,217,177,142
375,"Cohasset CDP, California",1600000US0614442,847,783,933
376,"Cold Springs CDP (El Dorado County), California",1600000US0614450,446,562,573
377,"Cold Springs CDP (Tuolumne County), California",1600000US0614454,181,306,163
378,"Coleville CDP, California",1600000US0614484,495,605,368
379,"College City CDP, California",1600000US0614554,290,92,188
380,"Coloma CDP, California",1600000US0614764,529,481,874
381,"Comptche CDP, California",1600000US0615030,159,96,73
382,"Coronita CDP, California",1600000US0616420,2608,2611,3079
383,"Courtland CDP, California",1600000US0616714,355,371,512
384,"Collierville CDP, California",1600000US0614708,1934,2131,1697
385,"Cowan CDP, California",1600000US0616762,318,350,525
386,"Cressey CDP, California",1600000US0617078,394,692,315
387,"Creston CDP, California",1600000US0617232,94,67,22
388,"Crowley Lake CDP, California",1600000US0617372,875,554,654
389,"Crows Landing CDP, California",1600000US0617428,355,529,207
390,"Cuyama CDP, California",1600000US0617727,57,51,91
391,"Daphnedale Park CDP, California",1600000US0617995,184,49,90
392,"Davenport CDP, California",1600000US0618086,408,309,297
393,"Delft Colony CDP, California",1600000US0618450,454,555,132
394,"Descanso CDP, California",1600000US0618940,1423,1350,1355
395,"Desert Center CDP, California",1600000US0618982,204,188,207
396,"Desert Edge CDP, California",1600000US0618986,3822,4668,4431
397,"East Palo Alto city, California",1600000US0620956,28155,27894,29198
398,"Redwood City city, California",1600000US0660102,76815,75193,81342
399,"San Bruno city, California",1600000US0665028,41114,40231,42506
400,"Lafayette city, California",1600000US0639122,23893,23769,25082
401,"Fish Camp CDP, California",1600000US0624218,59,0,51
402,"El Sobrante CDP (Contra Costa County), California",1600000US0622454,12669,13489,13388
403,"Floriston CDP, California",1600000US0624526,73,27,40
404,"Flournoy CDP, California",1600000US0624568,101,110,139
405,"Forbestown CDP, California",1600000US0624750,320,355,344
406,"Forest Ranch CDP, California",1600000US0624918,1184,1335,831
407,"Fort Bidwell CDP, California",1600000US0625030,173,140,204
408,"Fort Irwin CDP, California",1600000US0625114,8845,9107,9238
409,"Fort Washington CDP, California",1600000US0625300,233,432,734
410,"Franklin CDP (Merced County), California",1600000US0625488,6149,5177,7511
411,"Franklin CDP (Sacramento County), California",1600000US0625506,155,0,97
412,"Freeport CDP, California",1600000US0625590,38,20,51
413,"French Valley CDP, California",1600000US0626067,23067,21008,27752
414,"Fruitridge Pocket CDP, California",1600000US0627130,5800,5812,5725
415,"Fuller Acres CDP, California",1600000US0627190,991,994,970
416,"Fulton CDP, California",1600000US0628014,541,596,638
417,"Garberville CDP, California",1600000US0628154,913,644,988
418,"Garden Farms CDP, California",1600000US0628210,386,451,265
419,"Garey CDP, California",1600000US0629070,68,103,170
420,"Garnet CDP, California",1600000US0629112,7543,6597,6844
421,"Gasquet CDP, California",1600000US0629154,661,572,596
422,"Tiburon town, California",1600000US0678666,8962,8831,9158
423,"Prunedale CDP, California",1600000US0658870,17560,19044,18932
424,"Grover Beach city, California",1600000US0631393,13156,13137,13409
425,"Hornbrook CDP, California",1600000US0634694,248,270,269
426,"Tennant CDP, California",1600000US0678176,41,46,100
427,"Yuba City city, California",1600000US0686972,64925,63435,66038
428,"Los Altos Hills town, California",1600000US0643294,7922,7858,8314
429,"Monte Sereno city, California",1600000US0648956,3341,3312,3508
430,"Saratoga city, California",1600000US0670280,29926,29523,30817
431,"Sunnyvale city, California",1600000US0677000,140081,136480,148178
432,"Cotati city, California",1600000US0616560,7265,7073,7376
433,"Forestville CDP, California",1600000US0624960,3293,3380,3367
434,"Graton CDP, California",1600000US0630812,1707,1598,1643
435,"Occidental CDP, California",1600000US0653266,1115,1221,1159
436,"Corning city, California",1600000US0616322,7663,7546,7586
437,"Gridley city, California",1600000US0631260,6584,6449,6579
438,"Tehama city, California",1600000US0678106,418,436,410
439,"Casa de Oro-Mount Helix CDP, California",1600000US0611691,18762,19118,20222
440,"San Diego city, California",1600000US0666000,1307402,1282800,1359791
441,"Bradley CDP, California",1600000US0607974,93,80,125
442,"King City city, California",1600000US0638520,12874,12399,13389
443,"Salinas city, California",1600000US0664224,150441,147074,155366
444,"Fairfield city, California",1600000US0623182,105321,103698,109468
445,"Alpine Village CDP, California",1600000US0601228,114,237,116
446,"False Pass city, Alaska",1600000US0224660,35,15,37
447,"Atqasuk city, Alaska",1600000US0204500,233,380,159
448,"Dry Creek CDP, Alaska",1600000US0220020,94,0,84
449,"Unalaska city, Alaska",1600000US0280770,4376,4485,4619
450,"Hollis CDP, Alaska",1600000US0232810,112,142,124
451,"Hyder CDP, Alaska",1600000US0234570,87,125,13
452,"Kasaan city, Alaska",1600000US0237650,49,48,71
